id,date_added,common_name,other_names,region,country,reserve,reference,image,vips_smartcrop,notes
20,2024-02-24,Spotted hyena,,"Africa,Sub-Saharan Africa",Kenya,"Kapiti,Ol Pejeta,Oserongoni,Nairobi National Park",https://en.wikipedia.org/wiki/Spotted_hyena,https://upload.wikimedia.org/wikipedia/commons/3/3b/Spotted_hyena_in_Madikwe_Game_Reserve.jpg,attention,
21,2024-02-24,Striped hyena,,"Africa,Eastern Africa,Northern Africa",Kenya,"Kapiti,Ol Pejeta,Nairobi National Park",https://en.wikipedia.org/wiki/Striped_hyena,https://upload.wikimedia.org/wikipedia/commons/a/a4/Striped_hyena_%28Hyaena_hyaena%29_-_cropped.jpg,attention,
22,2024-02-24,Egyptian goose,,"Africa,Sub-Saharan Africa",Kenya,"Kapiti,Ol Pejeta,Oserongoni,Nairobi National Park",https://en.wikipedia.org/wiki/Egyptian_goose,https://upload.wikimedia.org/wikipedia/commons/6/6a/Alopochen-aegyptiacus.jpg,attention,
23,2024-02-24,Bat-eared fox,,"Africa,Eastern Africa,Southern Africa",Kenya,"Kapiti,Ol Pejeta,Oserongoni,Nairobi National Park",https://en.wikipedia.org/wiki/Bat-eared_fox,https://upload.wikimedia.org/wikipedia/commons/8/84/Otocyon_megalotis_-_Etosha_2014.jpg,centre,
24,2024-02-24,Kirk’s dik-dik,,"Africa,Eastern Africa",Kenya,"Kapiti,Ol Pejeta,Oserongoni,Nairobi National Park",https://en.wikipedia.org/wiki/Kirk%27s_dik-dik,https://upload.wikimedia.org/wikipedia/commons/6/67/Madoqua_kirkii_-_male_%28Namutoni%29.jpg,centre,
25,2024-02-24,Olive baboon,,"Africa,Sub-Saharan Africa",Kenya,"Kapiti,Ol Pejeta,Oserongoni,Nairobi National Park",https://en.wikipedia.org/wiki/Olive_baboon,https://upload.wikimedia.org/wikipedia/commons/3/35/Olive_baboon_Ngorongoro.jpg,attention,
26,2024-02-24,Yellow baboon,,"Africa,Sub-Saharan Africa",Kenya,Unconfirmed,https://en.wikipedia.org/wiki/Yellow_baboon,https://upload.wikimedia.org/wikipedia/commons/6/6d/Yellow_Baboon%2C_Amboseli_National_Park%2C_Kenya.jpg,high,
27,2024-02-24,Nile crocodile,,"Africa,Sub-Saharan Africa",Kenya,Nairobi National Park,https://en.wikipedia.org/wiki/Nile_crocodile,https://upload.wikimedia.org/wikipedia/commons/1/18/Nilecroc100.jpg,attention,
28,2024-02-24,Somali ostrich (male),Blue-necked ostrich,"Africa,Sub-Saharan Africa",Kenya,Oserongoni,https://en.wikipedia.org/wiki/Somali_ostrich,https://upload.wikimedia.org/wikipedia/commons/e/e1/Somali_ostrich.jpg,centre,
29,2024-02-24,Lion (male),,"Africa,Sub-Saharan Africa",Kenya,"Kapiti,Ol Pejeta,Nairobi National Park",https://en.wikipedia.org/wiki/Lion,https://upload.wikimedia.org/wikipedia/commons/7/73/Lion_waiting_in_Namibia.jpg,centre,
30,2024-02-24,Lioness (female),,"Africa,Sub-Saharan Africa",Kenya,"Kapiti,Ol Pejeta,Nairobi National Park",https://en.wikipedia.org/wiki/Lion,https://upload.wikimedia.org/wikipedia/commons/c/c6/Okonjima_Lioness.jpg,centre,
31,2024-02-26,Helmeted guineafowl,,Sub-Saharan Africa,Kenya,"Kapiti,Ol Pejeta,Oserongoni,Nairobi National Park",https://en.wikipedia.org/wiki/Helmeted_guineafowl,https://upload.wikimedia.org/wikipedia/commons/a/af/Numida_meleagris_-Serengeti_National_Park%2C_Tanzania-8_%281%29.jpg,centre,
32,2024-02-26,Yellow-necked francolin,Yellow-necked spurfowl,Eastern Africa,Kenya,"Kapiti,Ol Pejeta,Oserongoni,Nairobi National Park",https://en.m.wikipedia.org/wiki/Yellow-necked_spurfowl,https://upload.wikimedia.org/wikipedia/commons/3/3e/Francolin.jpg,attention,
33,2024-02-26,Reticulated giraffe,Somali giraffe,Eastern Africa,Kenya,Ol Pejeta,https://en.wikipedia.org/wiki/Reticulated_giraffe,https://upload.wikimedia.org/wikipedia/commons/4/44/Giraffa_camelopardalis_reticulata_01%2C_flip.jpg,low,
34,2024-03-29,Coke's hartebeest,Kongoni,Eastern Africa,Kenya,"Kapiti,Ol Pejeta,Oserongoni,Nairobi National Park",https://en.wikipedia.org/wiki/Coke%27s_hartebeest,https://upload.wikimedia.org/wikipedia/commons/5/5c/Coke%27s_Hartebeest.jpg,attention,
35,2024-06-14,Grévy's zebra,Imperial zebra,Eastern Africa,"Kenya,Ethiopia","Ol Pejeta,Oserongoni",https://en.wikipedia.org/wiki/Gr%C3%A9vy%27s_zebra,https://upload.wikimedia.org/wikipedia/commons/7/74/Grevy%27s_Zebra_Stallion.jpg,centre,
36,2024-06-16,Common dwarf mongoose,,Eastern Africa,"Kenya,Ethiopia","Kapiti,Ol Pejeta,Oserongoni,Nairobi National Park",https://en.wikipedia.org/wiki/Common_dwarf_mongoose,https://upload.wikimedia.org/wikipedia/commons/0/05/Dwarf_Mongoose_%28Helogale_parvula%29_%286002158282%29.jpg,centre,
37,2024-06-16,Grey crowned crane,Crested crane,Eastern Africa,"Kenya,Ethiopia","Kapiti,Ol Pejeta,Oserongoni,Nairobi National Park",https://en.wikipedia.org/wiki/Grey_crowned_crane,https://upload.wikimedia.org/wikipedia/commons/c/cc/Grey-crowned-crane.jpg,attention,
38,2025-01-02,Vervet monkey,,"Africa,Eastern Africa,Southern Africa","Kenya,Ethiopia",Oserongoni,https://en.wikipedia.org/wiki/Vervet_monkey,https://upload.wikimedia.org/wikipedia/commons/4/40/Cercopiteco_verde_%28Chlorocebus_pygerythrus%29%2C_parque_nacional_Kruger%2C_Sud%C3%A1frica%2C_2018-07-25%2C_DD_57.jpg,attention,
39,2025-01-02,Serval cat,,"Africa,Sub-Saharan Africa",Kenya,Oserongoni,https://en.wikipedia.org/wiki/Serval,https://upload.wikimedia.org/wikipedia/commons/7/7d/Leptailurus_serval_61666728%2C_crop.jpg,attention,
40,2025-01-02,Southern white rhinoceros,,"Africa,Sub-Saharan Africa",Kenya,Ol Pejeta,https://en.wikipedia.org/wiki/Southern_white_rhinoceros,https://upload.wikimedia.org/wikipedia/commons/9/97/Pilanesberg_Rhino.JPG,attention,
41,2025-01-02,Northern white rhinoceros,,Eastern Africa,Kenya,Ol Pejeta,https://en.wikipedia.org/wiki/Northern_white_rhinoceros,https://upload.wikimedia.org/wikipedia/commons/d/d3/Ceratotherium_simum_cottoni_-Ol_Pejeta_Conservancy%2C_Kenya_-_cropped.jpg,attention,
